Reference,qty,Value,link
D1,1,1N4007,https://es.aliexpress.com/item/1005001456610390.html?spm=a2g0o.productlist.0.0.532833081DkvXy&algo_pvid=2f04f6ea-f2c7-4707-9a64-18b875dd26c8&algo_exp_id=2f04f6ea-f2c7-4707-9a64-18b875dd26c8-0
D2,1,5.6V Zener,https://es.rs-online.com/web/p/products/5443604/
F1,1,Fuse resettable 500mA (trigger 1A),https://es.rs-online.com/web/p/products/5176635/
F2,1,"Fuse resettable 750mA (trigger 1,5A)",https://es.rs-online.com/web/p/products/5176663/
F3,1,"Fuse resettable 1,6A (trigger 3,2A)",https://es.rs-online.com/web/p/products/5176792/
"F4, F5",2,Fuse resettable 50mA (trigger 100mA),https://es.rs-online.com/web/p/products/6478421/
J1,1,"DC Power Jack, 2,1mm",https://es.aliexpress.com/item/33005175186.html?spm=a2g0s.9042311.0.0.274263c0yTxl9o
J10,1,1x08 female pinheader,https://es.aliexpress.com/item/33011682095.html?spm=a2g0s.9042311.0.0.274263c0vVtfcn
"J2, J3",2,2 pin male PCB JST vertical connector,"https://es.aliexpress.com/item/32855763468.html?spm=a2g0o.detail.1000014.9.6c47b8faPpMdPH&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.14452.226710.0&scm_id=1007.14452.226710.0&scm-url=1007.14452.226710.0&pvid=8dca3c1c-82d4-4767-aaa4-716c7a224aaf&_t=gps-id:pcDetailBottomMoreOtherSeller,scm-url:1007.14452.226710.0,pvid:8dca3c1c-82d4-4767-aaa4-716c7a224aaf,tpp_buckets:668%230%23131923%2367_668%23888%233325%2315_4452%230%23226710%230_4452%233474%2316498%23728_4452%234862%2324463%23547_4452%233098%239599%23680_4452%235108%2323442%23388_4452%233564%2316062%23632_668%232846%238109%231935_668%235811%2327178%2332_668%236421%2330829%23783_668%232717%237564%23674_668%231000022185%231000066058%230_668%236808%2332778%23995_668%233422%2315392%23315_23416%230%23213724%230_23416%236336%2330490%236_23416%234721%2321967%23754_23416%234722%2321972%237&&pdp_ext_f=%7B%22sceneId%22:%2223416%22%7D&fromDetail"
J4,1,"4 pin male connector. 2,54mm 90 degrees",https://es.aliexpress.com/item/33053313994.html?spm=a2g0o.productlist.0.0.16ca447aWVRnXn&algo_pvid=3912f429-1edb-46f4-b2ae-9c70973c23fa&algo_exp_id=3912f429-1edb-46f4-b2ae-9c70973c23fa-48
J5,1,3 pin male PCB JST vertical connector,"https://es.aliexpress.com/item/32855763468.html?spm=a2g0o.detail.1000014.9.6c47b8faPpMdPH&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.14452.226710.0&scm_id=1007.14452.226710.0&scm-url=1007.14452.226710.0&pvid=8dca3c1c-82d4-4767-aaa4-716c7a224aaf&_t=gps-id:pcDetailBottomMoreOtherSeller,scm-url:1007.14452.226710.0,pvid:8dca3c1c-82d4-4767-aaa4-716c7a224aaf,tpp_buckets:668%230%23131923%2367_668%23888%233325%2315_4452%230%23226710%230_4452%233474%2316498%23728_4452%234862%2324463%23547_4452%233098%239599%23680_4452%235108%2323442%23388_4452%233564%2316062%23632_668%232846%238109%231935_668%235811%2327178%2332_668%236421%2330829%23783_668%232717%237564%23674_668%231000022185%231000066058%230_668%236808%2332778%23995_668%233422%2315392%23315_23416%230%23213724%230_23416%236336%2330490%236_23416%234721%2321967%23754_23416%234722%2321972%237&&pdp_ext_f=%7B%22sceneId%22:%2223416%22%7D&fromDetail"
J6,1,1x05 female straight pinheader,https://es.aliexpress.com/item/4000557204854.html?spm=a2g0o.detail.1000014.55.e71f7d36AHrorR&gps-id=pcDetailBottomMoreOtherSeller&scm=1007.14976.197949.0&scm_id=1007.14976.197949.0&scm-url=1007.14976.197949.0&pvid=5ba376ad-3c54-4b72-b07f-ffadeef4e170&_t=g
no REF,1,SPDT ON-ON 6A switch,https://es.aliexpress.com/item/1005001667810183.html?spm=a2g0s.9042311.0.0.274263c00uYiCm
PCB,1,mini DC-DC 1.5 PCB adaptor with fuses,https://msxmakers.design.blog/2021/07/16/personaliza-tu-omega/#DC-1-5
R1,1,120 ohm 250mW,"https://es.aliexpress.com/item/32952657927.html?spm=a2g0o.productlist.0.0.656d20ac0DjltP&algo_pvid=c822d501-17e0-4f76-add6-473b7c302689&algo_expid=c822d501-17e0-4f76-add6-473b7c302689-0&btsid=2100bdde16138116256705601e49ea&ws_ab_test=searchweb0_0,searchwe"
SW1,1,3 way male terminal block,https://es.rs-online.com/web/p/products/8970730/
